seed_id	annotation
fig|391904.5.peg.420	"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"
fig|391904.5.peg.421	"ABC-type anion transport system, duplicated permease component"
fig|391904.5.peg.422	LSU ribosomal protein L19p
fig|391904.5.peg.423	Signal peptidase I (EC 3.4.21.89)
fig|391904.5.peg.424	Ribonuclease HII (EC 3.1.26.4)
fig|391904.5.peg.425	"AraQ transcriptional regulator, LacI family"
fig|391904.5.peg.426	hypothetical protein
fig|391904.5.peg.427	"Predicted transporter of Fuc(a1-6)GlcNAc-peptide, Glucose Transporter (GT) Family"
fig|391904.5.peg.428	"Exo-alpha-L-(1-6)-fucosidase, GH29"
fig|391904.5.peg.429	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
fig|391904.5.peg.430	hypothetical protein
fig|391904.5.peg.431	hypothetical protein
fig|391904.5.peg.432	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.433	hypothetical protein
fig|391904.5.peg.434	hypothetical protein
fig|391904.5.peg.435	hypothetical protein
fig|391904.5.peg.436	hypothetical protein
fig|391904.5.peg.437	hypothetical protein
fig|391904.5.peg.438	hypothetical protein
fig|391904.5.peg.439	ABC transporter related
fig|391904.5.peg.440	hypothetical protein
fig|391904.5.peg.441	hypothetical protein
fig|391904.5.peg.442	"Transcriptional regulator of b(1-4)-linked galactooligosaccharides and galactan utilization, LacI family"
fig|391904.5.peg.443	Truncated endo-beta-(1-4/1-3)-galactanase without the GH53 domain
fig|391904.5.peg.444	dehydrogenase or reductase protein( EC:1.1.1.274 )
fig|391904.5.peg.445	putative secreted protein
fig|391904.5.peg.446	Manganese transport protein MntH
fig|391904.5.peg.447	Permeases of the major facilitator superfamily
fig|391904.5.peg.448	hypothetical protein
fig|391904.5.peg.449	Replication protein
fig|391904.5.peg.450	hypothetical protein
fig|391904.5.peg.451	hypothetical protein
fig|391904.5.peg.452	Mobile element protein
fig|391904.5.peg.453	Integrase
fig|391904.5.peg.454	Integrase
fig|391904.5.peg.455	hypothetical protein
fig|391904.5.peg.456	hypothetical protein
fig|391904.5.peg.457	Integrase
fig|391904.5.peg.458	"Exo-beta-(1-3/1-4/1-6)-N-acetylglucosaminidase, GH20"
fig|391904.5.peg.459	"ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)"
fig|391904.5.peg.460	"Type II HMOs transporter B. breve like, permease component 1"
fig|391904.5.peg.461	"Type II HMOs transporter B. breve, substrate-binding protein"
fig|391904.5.peg.462	Two-component system sensor protein
fig|391904.5.peg.463	hypothetical protein
fig|391904.5.peg.464	hypothetical protein
fig|391904.5.peg.465	hypothetical protein
fig|391904.5.peg.466	hypothetical protein
fig|391904.5.peg.467	ABC transporter related
fig|391904.5.peg.468	hypothetical protein
fig|391904.5.peg.469	Serine/threonine protein kinase
fig|391904.5.peg.470	Two-component system response regulator
fig|391904.5.peg.471	Putative two-component sensor
fig|391904.5.peg.472	"COG0577: ABC-type antimicrobial peptide transport system, permease component"
fig|391904.5.peg.473	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.474	"ABC transporter, NBP/MSD fusion protein"
fig|391904.5.peg.475	hypothetical protein
fig|391904.5.peg.476	asparagine synthetase
fig|391904.5.peg.477	hypothetical protein
fig|391904.5.peg.478	hypothetical protein
fig|391904.5.peg.479	Two-component system response regulator
fig|391904.5.peg.480	Two-component system sensor protein
fig|391904.5.peg.481	hypothetical protein
fig|391904.5.peg.482	hypothetical protein
fig|391904.5.peg.483	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.484	hypothetical protein
fig|391904.5.peg.485	hypothetical protein
fig|391904.5.peg.486	Aspartate aminotransferase (EC 2.6.1.1)
fig|391904.5.peg.487	hypothetical protein
fig|391904.5.peg.488	hypothetical protein
fig|391904.5.peg.489	Putative permease
fig|391904.5.peg.490	hypothetical protein
fig|391904.5.peg.491	hypothetical protein
fig|391904.5.peg.492	Mobile element protein
fig|391904.5.peg.493	Integrase
fig|391904.5.peg.494	hypothetical protein
fig|391904.5.peg.495	hypothetical protein
fig|391904.5.peg.496	hypothetical protein
fig|391904.5.peg.497	"Tn5252, Orf23"
fig|391904.5.peg.498	COG0477: Permeases of the major facilitator superfamily
fig|391904.5.peg.499	Two-component system sensor histidine kinase
fig|391904.5.peg.500	Two-component system response regulator
fig|391904.5.peg.501	hypothetical protein
fig|391904.5.peg.502	hypothetical protein
fig|391904.5.peg.503	hypothetical protein
fig|391904.5.peg.504	hypothetical protein
fig|391904.5.peg.505	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.506	hypothetical protein
fig|391904.5.peg.507	"Transcriptional regulator of lactose utilization, LacI family"
fig|391904.5.peg.508	hypothetical protein
fig|391904.5.peg.509	hypothetical protein
fig|391904.5.peg.510	ABC transporter related
fig|391904.5.peg.511	hypothetical protein
fig|391904.5.peg.512	Helix-turn-helix domain protein
fig|391904.5.peg.513	hypothetical protein
fig|391904.5.peg.514	COG0583: Transcriptional regulator
fig|391904.5.peg.515	COG1192: ATPases involved in chromosome partitioning
fig|391904.5.peg.516	ParA
fig|391904.5.peg.517	hypothetical protein
fig|391904.5.peg.518	hypothetical protein
fig|391904.5.peg.519	hypothetical protein
fig|391904.5.peg.520	hypothetical protein
fig|391904.5.peg.521	hypothetical protein
fig|391904.5.peg.522	tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33)
fig|391904.5.peg.523	UDP-glucose 4-epimerase (EC 5.1.3.2)
fig|391904.5.peg.524	Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)
fig|391904.5.peg.525	Lactaldehyde reductase (EC 1.1.1.77)
fig|391904.5.peg.526	Putative glycosyltransferase
fig|391904.5.peg.527	putative membrane protein
fig|391904.5.peg.528	hypothetical protein
fig|391904.5.peg.529	"Multidrug ABC transporter, ATP-binding protein"
fig|391904.5.peg.530	hypothetical protein
fig|391904.5.peg.531	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
fig|391904.5.peg.532	tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
fig|391904.5.peg.533	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)
fig|391904.5.peg.534	Cell division protein FtsH (EC 3.4.24.-)
fig|391904.5.peg.535	GTP cyclohydrolase I (EC 3.5.4.16) type 1
fig|391904.5.peg.536	Dihydropteroate synthase (EC 2.5.1.15)
fig|391904.5.peg.537	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) / Dihydroneopterin aldolase (EC 4.1.2.25)
fig|391904.5.peg.538	FIG027937: secreted protein
fig|391904.5.peg.539	Acyl-CoA thioesterase II (EC 3.1.2.-)
fig|391904.5.peg.540	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.541	Mobile element protein
fig|391904.5.peg.542	hypothetical protein
fig|391904.5.peg.543	hypothetical protein
fig|391904.5.peg.544	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.545	"ABC transporter, permease protein"
fig|391904.5.peg.546	Transcriptional regulator
fig|391904.5.peg.547	Mobile element protein
fig|391904.5.peg.548	Drug resistance transporter EmrB/QacA subfamily
fig|391904.5.peg.549	Glucokinase (EC 2.7.1.2)
fig|391904.5.peg.550	hypothetical protein
fig|391904.5.peg.551	"oxidoreductase of aldo/keto reductase family, subgroup 1"
fig|391904.5.peg.552	Peptide deformylase (EC 3.5.1.88)
fig|391904.5.peg.553	hypothetical protein
fig|391904.5.peg.554	COG0477: Permeases of the major facilitator superfamily
fig|391904.5.peg.555	Multidrug resistance protein ErmB
fig|391904.5.peg.556	hypothetical protein
fig|391904.5.peg.558	"LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent"
fig|391904.5.peg.559	Peptide chain release factor 1
fig|391904.5.peg.560	Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)
fig|391904.5.peg.561	"Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)"
fig|391904.5.peg.562	hypothetical protein
fig|391904.5.peg.563	High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)
fig|391904.5.peg.564	Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)
fig|391904.5.peg.565	Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)
fig|391904.5.peg.566	Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)
fig|391904.5.peg.567	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
fig|391904.5.peg.568	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33)
fig|391904.5.peg.569	Inosine-5&#39;-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain
fig|391904.5.peg.570	FIG00424669: hypothetical protein
fig|391904.5.peg.571	3&#39;-to-5&#39; oligoribonuclease (orn)
fig|391904.5.peg.572	Putative helicase
fig|391904.5.peg.573	"COG1355, Predicted dioxygenase"
fig|391904.5.peg.574	hypothetical protein
fig|391904.5.peg.575	"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type"
fig|391904.5.peg.576	Single-stranded DNA-binding protein
fig|391904.5.peg.577	Metallopeptidase
fig|391904.5.peg.578	putative membrane protein
fig|391904.5.peg.579	Methionine aminopeptidase (EC 3.4.11.18)
fig|391904.5.peg.580	Citrate synthase (si) (EC 2.3.3.1)
fig|391904.5.peg.581	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)"
fig|391904.5.peg.582	hypothetical protein
fig|391904.5.peg.583	"COG0553: Superfamily II DNA/RNA helicases, SNF2 family"
fig|391904.5.peg.584	COG0454: Histone acetyltransferase HPA2 and related acetyltransferases
fig|391904.5.peg.585	Very-short-patch mismatch repair endonuclease (G-T specific)
fig|391904.5.peg.586	Putative oxidoreductase for Trp catabolism
fig|391904.5.peg.587	Valine--pyruvate aminotransferase (EC 2.6.1.66)
fig|391904.5.peg.588	Exopolyphosphatase (EC 3.6.1.11)
fig|391904.5.peg.589	INTEGRAL MEMBRANE PROTEIN (Rhomboid family)
fig|391904.5.peg.590	Nucleoside 2-deoxyribosyltransferase
fig|391904.5.peg.591	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
fig|391904.5.peg.592	NAD(P)H oxidoreductase YRKL (EC 1.6.99.-) @ Putative NADPH-quinone reductase (modulator of drug activity B) @ Flavodoxin 2
fig|391904.5.peg.593	hypothetical protein
fig|391904.5.peg.594	Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)
fig|391904.5.peg.595	Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)
fig|391904.5.peg.596	"Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)"
fig|391904.5.peg.597	"Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)"
fig|391904.5.peg.598	Activator of (R)-2-hydroxyglutaryl-CoA dehydratase
fig|391904.5.peg.599	POSSIBLE RESOLVASE
fig|391904.5.peg.600	"putative transposase, IS891/IS1136/IS1341"
fig|391904.5.peg.601	Similar to Glutamate--cysteine ligase (EC 6.3.2.2)
fig|391904.5.peg.602	putative beta-glucosidase
fig|391904.5.peg.603	"Nucleotidyltransferase domain protein, Caur_2868 group"
fig|391904.5.peg.604	"Protein of unknown function DUF86, Caur_2869 group"
fig|391904.5.peg.605	"Hypothetical GH, GH5"
fig|391904.5.peg.606	Mobile element protein
fig|391904.5.peg.607	hypothetical protein
fig|391904.5.peg.608	"Predicted beta-glucoside specific transcriptional regulator, TetR family"
fig|391904.5.peg.609	hypothetical protein
fig|391904.5.peg.610	"Beta-glucosidase, GH3"
fig|391904.5.peg.611	hypothetical protein
fig|391904.5.peg.612	hypothetical protein
fig|391904.5.peg.613	hypothetical protein
fig|391904.5.peg.614	"Glycosyl transferase, group 1 family protein"
fig|391904.5.peg.615	Putative transmembrane protein
fig|391904.5.peg.616	hypothetical protein
fig|391904.5.peg.617	hypothetical protein
fig|391904.5.peg.618	hypothetical protein
fig|391904.5.peg.619	putative signaling protein
fig|391904.5.peg.620	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.621	"ABC transporter, ATP-binding/permease protein"
fig|391904.5.peg.622	hypothetical protein
fig|391904.5.peg.623	Ribose operon repressor
fig|391904.5.peg.624	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)
fig|391904.5.peg.625	"Predicted nucleoside transporter, MFS family"
fig|391904.5.peg.626	Ribokinase (EC 2.7.1.15)
fig|391904.5.peg.627	"Transcriptional regulator, LacI family"
fig|391904.5.peg.628	"Transcriptional regulator of sialic acid metabolism, GntR family"
fig|391904.5.peg.629	hypothetical protein
fig|391904.5.peg.630	N-acetylmannosamine kinase (EC 2.7.1.60)
fig|391904.5.peg.631	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)
fig|391904.5.peg.632	"Exo-alpha-(2-3/2-6)-sialidase, GH33"
fig|391904.5.peg.633	hypothetical protein
fig|391904.5.peg.634	"ABC transporter, predicted N-acetylneuraminate-binding protein"
fig|391904.5.peg.635	hypothetical protein
fig|391904.5.peg.636	"ABC transporter, predicted N-acetylneuraminate transport system permease protein 1"
fig|391904.5.peg.637	"ABC transporter, predicted N-acetylneuraminate transport system permease protein 2 / ABC transporter, predicted N-acetylneuraminate transport system ATP-binding protein"
fig|391904.5.peg.638	"ABC transporter, predicted N-acetylneuraminate transport system ATP-binding protein"
fig|391904.5.peg.639	N-acetylneuraminate lyase (EC 4.1.3.3)
fig|391904.5.peg.640	hypothetical protein
fig|391904.5.peg.641	hypothetical protein
fig|391904.5.peg.642	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
fig|391904.5.peg.643	hypothetical protein
fig|391904.5.peg.644	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.645	"Transposase, mutator type"
fig|391904.5.peg.646	Transposase
fig|391904.5.peg.647	hypothetical protein
fig|391904.5.peg.648	"Predicted hexuronate transporter, GPH family"
fig|391904.5.peg.649	hypothetical protein
fig|391904.5.peg.650	"Predicted hexuronate transporter, GPH family"
fig|391904.5.peg.651	hypothetical protein
fig|391904.5.peg.652	"Predicted hexuronate transporter, GPH family"
fig|391904.5.peg.653	"Predicted regulator for glucuronate utilization, LacI family"
fig|391904.5.peg.654	"Predicted regulator for glucuronate utilization, LacI family"
fig|391904.5.peg.655	"Predicted 6-phospho-KDG dehydrogenase, decarboxylating / Predicted 2-dehydro-3-deoxygluconate kinase in Bifidobacteria (EC 2.7.1.45)"
fig|391904.5.peg.656	Mannonate dehydratase (EC 4.2.1.8)
fig|391904.5.peg.657	D-mannonate oxidoreductase (EC 1.1.1.57)
fig|391904.5.peg.658	Uronate isomerase (EC 5.3.1.12)
fig|391904.5.peg.659	hypothetical protein
fig|391904.5.peg.660	hypothetical protein
fig|391904.5.peg.661	hypothetical protein
fig|391904.5.peg.662	hypothetical protein
fig|391904.5.peg.663	Transposase
fig|391904.5.peg.664	hypothetical protein
fig|391904.5.peg.665	Transposase and inactivated derivatives
fig|391904.5.peg.666	Mobile element protein
fig|391904.5.peg.667	hypothetical protein
fig|391904.5.peg.668	hypothetical protein
fig|391904.5.peg.669	Transposase
fig|391904.5.peg.670	DNA-binding protein HU-alpha
fig|391904.5.peg.671	hypothetical protein
fig|391904.5.peg.672	Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)
fig|391904.5.peg.673	Substrate-specific component YkoE of thiamin-regulated ECF transporter for Thiamin
fig|391904.5.peg.674	hypothetical protein
fig|391904.5.peg.675	hypothetical protein
fig|391904.5.peg.676	hypothetical protein
fig|391904.5.peg.677	hypothetical protein
fig|391904.5.peg.678	COG2304: Uncharacterized protein containing a von Willebrand factor type A (vWA) domain
fig|391904.5.peg.679	COG family: uncharacterized Bcr
fig|391904.5.peg.680	hypothetical protein
fig|391904.5.peg.681	hypothetical protein
fig|391904.5.peg.682	widely conserved MoxR-like protein in magnesium chelatase family
fig|391904.5.peg.683	"Uracil-DNA glycosylase, family 1"
fig|391904.5.peg.684	hypothetical protein
fig|391904.5.peg.685	Cold shock protein
fig|391904.5.peg.686	hypothetical protein
fig|391904.5.peg.687	Heat shock protein 60 family chaperone GroEL
fig|391904.5.peg.688	hypothetical protein
fig|391904.5.peg.689	hypothetical protein
fig|391904.5.peg.690	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain
fig|391904.5.peg.691	Two-component system sensor histidine kinase
fig|391904.5.peg.692	Cold shock protein of CSP family => SCO4325
fig|391904.5.peg.693	narrowly conserved hypothetical protein
fig|391904.5.peg.694	Universal stress protein family; UspA
fig|391904.5.peg.695	"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB"
fig|391904.5.peg.696	5&#39;-nucleotidase (EC 3.1.3.5)
fig|391904.5.peg.697	ATPase involved in DNA repair
fig|391904.5.peg.698	Histidyl-tRNA synthetase (EC 6.1.1.21)
fig|391904.5.peg.699	Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)
fig|391904.5.peg.700	narrowly conserved hypothetical protein
fig|391904.5.peg.701	hypothetical protein
fig|391904.5.peg.702	"ABC-type polar amino acid transport system, ATPase component"
fig|391904.5.peg.703	glutamate-binding protein of ABC transporter system
fig|391904.5.peg.704	"ABC-type amino acid transport system, permease component"
fig|391904.5.peg.705	"ABC-type amino acid transport system, permease component"
fig|391904.5.peg.706	Membrane-associated phospholipid phosphatase
fig|391904.5.peg.707	UDP-galactose-lipid carrier transferase (EC 2.-.-.-)
fig|391904.5.peg.708	"Helicase, C-terminal:DEAD/DEAH box helicase, N-terminal"
fig|391904.5.peg.709	"ATPase, AAA family"
fig|391904.5.peg.710	Transport protein
fig|391904.5.peg.711	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
fig|391904.5.peg.712	hypothetical protein
fig|391904.5.peg.713	hypothetical protein
fig|391904.5.peg.714	FIG004454: RNA binding protein
fig|391904.5.peg.715	Duplicated ATPase component of energizing module of riboflavin ECF transporter / Transmembrane component of energizing module of riboflavin ECF transporter
fig|391904.5.peg.716	Substrate-specific component RibU of riboflavin ECF transporter
fig|391904.5.peg.717	Putative glycosyltransferase
fig|391904.5.peg.718	Polyphosphate glucokinase (EC 2.7.1.63)
fig|391904.5.peg.719	Putative aminotransferase
fig|391904.5.peg.720	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.721	hypothetical protein
fig|391904.5.peg.722	hypothetical protein
fig|391904.5.peg.723	DNA ligase (NAD(+)) (EC 6.5.1.2)
fig|391904.5.peg.724	Septum site-determining protein MinD
fig|391904.5.peg.725	"Exo-beta-(1-3/1-4/1-6)-N-acetylglucosaminidase, GH20"
fig|391904.5.peg.726	YbbM seven transmembrane helix protein
fig|391904.5.peg.727	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.728	Translation elongation factor P
fig|391904.5.peg.729	Transcription termination protein NusB
fig|391904.5.peg.730	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)
fig|391904.5.peg.731	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
fig|391904.5.peg.732	Orotidine 5&#39;-phosphate decarboxylase (EC 4.1.1.23)
fig|391904.5.peg.733	Guanylate kinase (EC 2.7.4.8)
fig|391904.5.peg.734	DNA polymerase III epsilon subunit (EC 2.7.7.7)
fig|391904.5.peg.735	"Ribosome protection-type tetracycline resistance related proteins, group 2"
fig|391904.5.peg.736	possible phospholipase/carboxylesterase
fig|391904.5.peg.737	permease protein of ABC transporter system
fig|391904.5.peg.738	"Amino acid ABC transporter, permease protein"
fig|391904.5.peg.739	"ABC transporter, ATP-binding protein 1 (cluster 4, leucine/isoleucine/valine/benzoate) / ABC transporter, ATP-binding protein 2 (cluster 4, leucine/isoleucine/valine/benzoate)"
fig|391904.5.peg.740	"ABC-type amino acid transport/signal transduction systems, periplasmic component/domain"
fig|391904.5.peg.741	hypothetical protein
fig|391904.5.peg.742	Cystathionine gamma-lyase (EC 4.4.1.1)
fig|391904.5.peg.743	Glutaredoxin-like protein GlrX
fig|391904.5.peg.744	hypothetical protein
fig|391904.5.peg.745	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)
fig|391904.5.peg.746	hypothetical protein
fig|391904.5.peg.747	Uroporphyrinogen decarboxylase (URO-D)
fig|391904.5.peg.748	"ABC transporter, substrate-binding protein (cluster 4, leucine/isoleucine/valine/benzoate)"
fig|391904.5.peg.749	"ABC transporter, permease protein 1 (cluster 4, leucine/isoleucine/valine/benzoate) / ABC transporter, permease protein 2 (cluster 4, leucine/isoleucine/valine/benzoate)"
fig|391904.5.peg.750	"ABC transporter, permease protein 1 (cluster 4, leucine/isoleucine/valine/benzoate) / ABC transporter, permease protein 2 (cluster 4, leucine/isoleucine/valine/benzoate)"
fig|391904.5.peg.751	"N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)"
fig|391904.5.peg.752	hypothetical protein
fig|391904.5.peg.753	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)
fig|391904.5.peg.754	Glutaredoxin-like protein GlrX
fig|391904.5.peg.755	ATP binding protein of ABC transporter for glutamate/aspartate
fig|391904.5.peg.756	"ABC-type amino acid transport/signal transduction systems, periplasmic component/domain"
fig|391904.5.peg.757	"ABC-type amino acid transport/signal transduction systems, periplasmic component/domain"
fig|391904.5.peg.758	Putative stomatin/prohibitin-family membrane protease subunit YbbK
fig|391904.5.peg.759	"Integrase, catalytic region"
fig|391904.5.peg.760	hypothetical protein
fig|391904.5.peg.761	ATP binding protein of ABC transporter for glutamate/aspartate
fig|391904.5.peg.762	hypothetical protein
fig|391904.5.peg.763	hypothetical protein
fig|391904.5.peg.764	hypothetical protein
fig|391904.5.peg.765	Predicted esterase of the alpha-beta hydrolase superfamily
fig|391904.5.peg.766	Glutamate racemase (EC 5.1.1.3)
fig|391904.5.peg.767	Diaminopimelate epimerase (EC 5.1.1.7)
fig|391904.5.peg.768	putative integral membrane protein
fig|391904.5.peg.769	hypothetical protein
fig|391904.5.peg.770	FIG00031715: Predicted metal-dependent phosphoesterases (PHP family)
fig|391904.5.peg.771	Putative ATP-binding protein
fig|391904.5.peg.772	Macrolide 2&#39;-phosphotransferase
fig|391904.5.peg.773	"ATP-dependent DNA helicase UvrD/PcrA, actinomycete paralog"
fig|391904.5.peg.774	Uncharacterized protein SCO5199
fig|391904.5.peg.775	hypothetical protein
fig|391904.5.peg.776	narrowly conserved hypothetical protein
fig|391904.5.peg.777	hypothetical protein
fig|391904.5.peg.778	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)
fig|391904.5.peg.779	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)
fig|391904.5.peg.780	hypothetical protein
fig|391904.5.peg.781	DNA recombination and repair protein RecO
fig|391904.5.peg.782	Undecaprenyl diphosphate synthase (EC 2.5.1.31)
fig|391904.5.peg.783	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)
fig|391904.5.peg.784	"COG0715: ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components"
fig|391904.5.peg.785	FIG00423908: hypothetical protein
fig|391904.5.peg.786	"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component"
fig|391904.5.peg.787	"Exo-beta-(2-1/2-6)-fructofuranosidase 2, GH32"
fig|391904.5.peg.788	"Sucrose permease, major facilitator superfamily"
fig|391904.5.peg.789	"Sucrose specific transcriptional regulator CscR, LacI family"
fig|391904.5.peg.790	Serine protease inhibitor (serpin family)
fig|391904.5.peg.791	"Cytoplasmic thiamin-binding component of thiamin ABC transporter, COG0011 family"
fig|391904.5.peg.792	Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)
fig|391904.5.peg.793	Cell division protein FtsH (EC 3.4.24.-)
fig|391904.5.peg.794	Phosphomethylpyrimidine synthase ThiC (EC 4.1.99.17) / Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)
fig|391904.5.peg.795	Hydroxyethylthiazole kinase (EC 2.7.1.50)
fig|391904.5.peg.796	hypothetical protein
fig|391904.5.peg.797	Glycyl-tRNA synthetase (EC 6.1.1.14)
fig|391904.5.peg.798	tRNA dihydrouridine synthase B (EC 1.-.-.-)
fig|391904.5.peg.799	Cell division protein FtsZ (EC 3.4.24.-)
fig|391904.5.peg.800	FIG001960: FtsZ-interacting protein related to cell division
fig|391904.5.peg.801	"Cell division integral membrane protein, YGGT family"
fig|391904.5.peg.802	hypothetical protein
fig|391904.5.peg.803	Cell division initiation protein DivIVA
fig|391904.5.peg.804	Lipoprotein signal peptidase (EC 3.4.23.36)
fig|391904.5.peg.805	Ribosomal large subunit pseudouridine synthase D (EC 5.4.99.23)
fig|391904.5.peg.806	putative integral membrane protein
fig|391904.5.peg.807	hypothetical protein
fig|391904.5.peg.808	DNA polymerase III alpha subunit (EC 2.7.7.7)
fig|391904.5.peg.809	"ATP-dependent nuclease, subunit B"
fig|391904.5.peg.810	"ATP-dependent nuclease, subunit A"
fig|391904.5.peg.811	hypothetical protein
fig|391904.5.peg.812	hypothetical protein
fig|391904.5.peg.813	hypothetical protein
fig|391904.5.peg.814	Putative transposase
fig|391904.5.peg.815	hypothetical protein
fig|391904.5.peg.816	DNA polymerase III alpha subunit (EC 2.7.7.7)
fig|391904.5.peg.817	Uncharacterized protein YneG
fig|391904.5.peg.818	67 kDa Myosin-crossreactive streptococcal antigen
fig|391904.5.peg.819	"oxidoreductase of aldo/keto reductase family, subgroup 1"
fig|391904.5.peg.820	Putative xylulose kinase (EC 2.7.1.17)
fig|391904.5.peg.821	"Acylphosphate phosphohydrolase (EC 3.6.1.7), putative"
fig|391904.5.peg.822	hypothetical protein
fig|391904.5.peg.823	Histidinol dehydrogenase (EC 1.1.1.23)
fig|391904.5.peg.824	Histidinol-phosphate aminotransferase (EC 2.6.1.9)
fig|391904.5.peg.825	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)
fig|391904.5.peg.826	Hypothetical protein BAD_1126
fig|391904.5.peg.827	Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)
fig|391904.5.peg.828	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16) / Acting phosphoribosylanthranilate isomerase (EC 5.3.1.24)
fig|391904.5.peg.829	narrowly conserved hypothetical protein
fig|391904.5.peg.830	Glutamine synthetase type I (EC 6.3.1.2)
fig|391904.5.peg.831	arabinose efflux permease
fig|391904.5.peg.832	"Oligopeptide ABC transporter, permease protein"
fig|391904.5.peg.833	"ABC transporter, permease protein"
fig|391904.5.peg.834	"ABC transporter, substrate-binding protein"
fig|391904.5.peg.835	"ABC transporter, ATP-binding protein"
fig|391904.5.peg.836	hypothetical protein
fig|391904.5.peg.837	ATP-dependent helicase
fig|391904.5.peg.838	hypothetical protein
fig|391904.5.peg.839	FIG00424211: hypothetical protein
fig|391904.5.peg.840	GTP-binding protein HflX
fig|391904.5.peg.841	L-lactate dehydrogenase (EC 1.1.1.27)
fig|391904.5.peg.842	Cobalt-zinc-cadmium resistance protein CzcD
fig|391904.5.peg.843	SOS-response repressor and protease LexA (EC 3.4.21.88)
fig|391904.5.peg.844	hypothetical protein
fig|391904.5.peg.845	Ribonucleotide reductase transcriptional regulator NrdR
fig|391904.5.peg.846	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
fig|391904.5.peg.847	Superfamily I DNA and RNA helicases
fig|391904.5.peg.848	Cell division protein MraZ
